reference_number,pdl_company,complaint_text,complaint_followup,category,amount_requested,amount_paid,age_range,consumer_city,consumer_state,tribe_name,tribe_city,tribe_state,lat,lng
46041309,Boulevard Cash,"I am filing a complaint as instructed by my CREDIT PROTECTION LAW FIRM BLUERIDGELAWGROUP AGAINST BOULEVARD CASH WHICH CONTINUES TO HARASS ME BY LEAVING MESSAGES ON MY PERSONAL PHONE, MY FRIENDS PHONE AND NOW MY WORK LINE , ALL OF WHICH I HAVE COPIES OF RECORDING FROM THIS THIRD PARTY SERVICE WHICH WILL NOT PROVIDE THEIR NAME HIRED BY BOULEVARD CASH, THESE PHONE CALLS ARE THREATENING IN SO MANY WAYS AND ARE DESTRUCTIVE AND. HAVE CAUSED ME A POTENTIAL LOSS IN EMPLOYMENT. ON THE PHONE CALLS, THIS GUY STEVE WILLIAMS IS TELLING ME THAT THE IS A COURT ORDER FOR MY ARREST AND THAT I HAVE BEEN OFFICIALLY SERVED. I HAVE NOT RECEIVED ONE. PIECE OF PAPERWORK FROM THIS COMPANY AND BOULEVARD CASH IS LOCATED OUTSIDE IF THE USA AND NOT EVEN LICENSED IN CALIFORNIA. THIS GUYS NUMBER IS <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span>. When my attorney called they would not qive there firm name and info about they were, yet they proceeded to contact my friend and harass her and my employer and leave a recorded message damaging my potential employment. I have recorded messages on my phone and my boss sent me VM recoding which I have saved.",,calls,,,40-49,Rancho Santa Margarita,CA,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,33.640855,-117.603104
50022849,Boulevard Cash,I have asked them twice to not call me at work and they refuse. I am working with a payment agency they have received and ceased and dismiss which should tell them they need to work with them and not be contacting me directly. Since I asked not to be contacted at work they continue calling. They have threated to sue me and come to my place of employment to serve me papers. When I speak with the representative serving me they tell me they cannot take this action.,,calls,1200,,50-59,S Royalton,VT,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,43.8205295,-72.5213419
49322538,"Golden Valley Lending, Inc.","This company call me every morning asking for a person by the name of <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> I have returned the call and was told that my number would be removed from the database. They will not give a name. In spite of my efforts they will not stop calling. Golden Valley Lending, Brandon is the person calling from",,calls,,,,Sacramento,CA,Habematolel Pomo of Upper Lake,Upper Lake,CA,38.5815719,-121.4943996
47925917,Gentle Breeze,"the consumer filled out an application on line for loan and then she cancelled the loan, now she is getting multiple calls from different loan companies.",,other,,,,Salt Lake City,UT,La Posta Band of Mission Indians,Boulevard,CA,40.7607793,-111.8910474
47480335,Boulevard Cash,"December 12, 2012 I took a $500 loan online from www.blvdcash.com. Payments made were 1231 $75, 115 $150, 131 $150, 215 $150, 228 $150, 315 $150, 331 $150, 415 $150, 430 $150. On May 10 I did some research and discovered that payday lending in NC was illegal and I was only liable for the initial principal. I contacted my bank and had my account closed and $600 in interest refunded to my account. I sent them a cease and desist email as well. I had paid them $1275, and got refunded $600...the way I see it they still owe me $175. Yesterday 8813 I received a call on my work phone and cell phone from Richard Harrowitz stating I was to be served today at work at 1 pm. If I were not here theyd contact my boss and they knew here name. They gave me a lawyers office phone number of <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> and when I called they stated this was a civil suit from Boulevard Cash. Ive found online the California Address for Boulevard Cash and a Belize Address. The Belize Address is <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span>. Either way, NC State law caps annual rates on small loans such as those sold at payday lenders at 36 percent and I was charged way more than that making the transaction illegal in the first place. These people will receive no more money from me and should quit harassing me at work and at home.",,illegal|calls,1370,,30-39,Sims,NC,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,35.7609903,-78.0588786
46194155,"Golden Valley Lending, Inc.","This company made a deposit into my bank account and then withdrew money from my account as well. I did not apply for a loan and have not signed or authorized anything from this company. In fact, I had never heard of them until they popped up on my bank account transaction list. I attempted to call multiple times and was disconnected each time. I attempted to chat online with the company and was told they could give no info online and I would have to call. At this point, I feel my bank account has been hacked and Im not sure how to stop it.",disallow them from access to my bank account.,did not apply,,,,Strasburg,OH,Habematolel Pomo of Upper Lake,Upper Lake,CA,40.5947844,-81.5267864
48284568,Gentle Breeze Loan,Caller reported had been contacted by Gentle Breeze Loan saying could qualify for a $1000.00 loan and was requested a fee of $110.00 with a vanilla reloadable card which was done and feels this is deceptive since was requested another $100.00 due to a red flag on consumers name.,,fees,114,114,30-39,Stroudsburg,PA,La Posta Band of Mission Indians,Boulevard,CA,40.9867609,-75.1946248
44879120,Harvest Moon Loans,Consumer reports that he has not received a confirmation alerting the consumer that they have received payment. Consumer has contacted Harvest Moon Loans to report the matter and they don't respond or call him back. Consumer reports that he is being charged every month as a direct deposit.,,other,,,20-29,Summerville,SC,La Posta Band of Mission Indians,Boulevard,CA,33.0185039,-80.1756481
47042847,Boulevard Cash Advance,"this company was a payday loan, i opened in November 2012 and I have been paying them $90 a month up until July in which was the amount of $300 I got into many payday loan I joined a payday debt consolidation company I pay them $485 a month to pay them off, they do all the foot work the call to them, letter to not call my place of employment they still call and harrasment, threatened to serve me paper at my place of employment, I am trying to pay faithfully but not fast enough for them they have different people calling their number is <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> the total amount that I paid them is $680.00 so they have no reason to call and harrase me at my work place, thank you for your time",,calls,300,686,,Temple Hills,MD,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,38.8140024,-76.9455296
47726130,Boulevard Cash,"I called on all dates 11302012,12172012, 12312012,1152013,1312013, 2152013, 2282013, 3152013, 412013, 4152013, 4302013, 5152013, 517, 2013, 5312013, 6172013, 712013, 7152013 and spoke to Katie Thomas who said a supervisor would call me back so I can settle the overpaid payments. I never heard back from a Supervisor to address my overpayment issues. Accessive fees were charged below for the total amount of $2475 after the loan fee was for $690.00.-This has caused me with financial issues since January 30, 2013. By January 31, 2013 I had paid them $770.00 and they continued to debit my account. I called them on February 15, 2013 to tell them to stop debit to my account and they said they would not and they threatened to have me sued. I stressed in detail that I did not have financial funds to give them more than what they debited and they still charged debits. I need help to stop them from doing this. I notified my bank on July 15, 2013 to stop the debits due to over accessive debit abuse on my account. My Bank seized further ACH debits from my account. Since this seize for ACH they call me and leave threats to continue to pay them more money although I paid them over the amount agreed. They leave unprofessional threatening voicemails at my place of work and on my mobile phone. 11302012 $170.00 12172012 $150.00 12312012 $150.00 1152013 $150.00 1312013 $150.00 2152013 $150.00 2282013 $150.00 3152013 $150.00 412013 $150.00 4152013 $150.00 4302013 $150.00 5152013 $150.00 5312013 $175.00 6172013 $167.50 712013 $160.00 7152013 $152.50",,fees,690,2475,30-39,Tracy,CA,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,37.7396513,-121.4252227
46871965,"Golden Valley Lending, Inc.",Predatory lending practices. Online payday loans are illegal in North Carolina.. PS9000: online payday loans Other-Other Update,,illegal,,,30-39,Wilson,NC,Habematolel Pomo of Upper Lake,Upper Lake,CA,35.7212689,-77.9155395
50408010,Boulevard Cash,"MAIL: The anonymous complaint was forwarded to us by the Department of Business Oversight. Three loan websites located in Belize and conducting business in CA were reported. They are Boulevard Cash, Fireside Cash, and Seaside Cash, and are operating illegally and have very high interest rates.",,other,,,,,,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,,
51109309,Boulevard Cash,Ive called them and told them not to contact me at work or on my cell or on my email and they still called me at work on 1/29/14. I explained to Bob that I faxed a paper telling them not to contact my work and he told me that they probably discarded it. That he will continue to call my job as long as debt is paid.,,calls,990,,20-29,,,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,,
47480435,National Payday Loan,They sent a Wage Assignment documentation to my place of work and feel that is an invasion of my privacy due to the privacy acts they disclose. I received a call from firmwide HR and they told me that they would appreciate not receiving anymore documents like this.. ,,other,,,,,,Guidiville Indian Rancheria,Ukiah,CA,,
